,,,,,,,,,,,,,,,,,,,
Stock,Type,Shares,Price,value,Portfolio/total ,EPS,PE ratio,,SYMBOL,,avg cost,Strategy,value Increase,,,annual div,Div,investment,ROI
DIA,INDEX,7.778684,339.45,"$2,640.47",#VALUE!,#N/A,#N/A,,NYSEARCA:DIA,0,316.33,BUY AND HOLD,$179.84,,,,#N/A,"$2,460.63",0.07308823065
Vanguard TOTAL,INDEX,7.499264,220.99,"$1,657.26",#VALUE!,#N/A,#N/A,,NYSEARCA:VTI,0,202.06,BUY AND HOLD,$141.96,,,,#N/A,"$1,515.30",9.37%
VONE,INDEX,2.963986,198.58,$588.59,#VALUE!,#N/A,#N/A,,NASDAQ:VONE,,189.11,BUY AND HOLD,$28.07,,,0,#N/A,$560.52,5.01%
BLK,FINANCE,3.428133,864.76,"$2,964.51",#VALUE!,34.51,25.06,,NYSE:BLK,0,558,BUY AND HOLD,"$1,169.92",,,118.3048698,34.51,"$1,912.90",61.16%
NYSE:SBR,MONTHLY DIV,16.26839,39.08,$635.77,#VALUE!,2.19,17.88,,NYSE:SBR,0,30.48,MONTHLY DIV,$175.54,,,35.6277741,2.19,$495.86,35.40%
agnc,MONTHLY DIV,47.753672,17.00,$811.81,#VALUE!,5.53,3.07,,NASDAQ:AGNC,0,15.4,MONTHLY DIV,$340.48,,,264.0778062,5.53,$735.41,46.30%
psec,MONTHLY DIV,60.210606,8.82,$531.06,#VALUE!,2.32,3.8,,NASDAQ:PSEC,0,5.18,MONTHLY DIV,$358.86,,,139.6886059,2.32,$311.89,115.06%
arr,MONTHLY DIV,60.627939,11.44,$693.58,#VALUE!,3.87,2.95,,NYSE:ARR,0,10.5,MONTHLY DIV,$291.62,,,234.6301239,3.87,$636.59,45.81%
GLAD,MONTHLY DIV,43.312281,11.34,$491.16,#VALUE!,1.84,6.16,,NASDAQ:GLAD,0,7.81,MONTHLY DIV,$232.59,,,79.69459704,1.84,$338.27,68.76%
HRZN,MONTHLY DIV,35.705078,17.49,$624.48,#VALUE!,0.72,24.37,,NASDAQ:HRZN,0,13.14,MONTHLY DIV,$181.02,,,25.70765616,0.72,$469.16,38.58%
PFLT,MONTHLY DIV,31.879714,12.85,$409.65,#VALUE!,,,,NASDAQ:PFLT,,,,,,,,,,
Tesla,TECH,0.409005,623.71,$255.10,#VALUE!,0.99,628.54,,NASDAQ:TSLA,0,733.49,TECH,-$44.50,,,0.40491495,0.99,$300.00,-14.83%
IPFF,ISHARES,20.096469,17.25,$346.66,#VALUE!,#N/A,#N/A,,BATS:IPFF,,16.59,ISHARES,$13.26,,,,#N/A,$333.40,3.98%
ROblox,TECH,5,82.44,$412.20,#VALUE!,-0.56,#N/A,,NYSE:RBLX,,74.3,TECH,$40.70,,,,-0.56,$371.50,10.96%
EEM,ISHARES,2,54.21,$108.42,#VALUE!,#N/A,#N/A,,NYSEARCA:EEM,,54.62,ISHARES,-$0.82,,,,#N/A,$109.24,-0.75%
IDRV,ISHARES,2,48.45,$96.90,#VALUE!,#N/A,#N/A,,NYSEARCA:IDRV,,47.93,ISHARES,$1.04,,,,#N/A,$95.86,1.08%
ICLN,ISHARES,4,22.87,$91.48,#VALUE!,#N/A,#N/A,,NASDAQ:ICLN,,24.4,ISHARES,-$6.12,,,,#N/A,$97.60,-6.27%
IRBO,ISHARES,2,43.78,$87.56,#VALUE!,#N/A,#N/A,,NYSEARCA:IRBO,,44.81,ISHARES,-$2.06,,,,#N/A,$89.62,-2.30%
ARKF,TECH,1,52.23,$52.23,#VALUE!,#N/A,#N/A,,NYSEARCA:ARKF,,54.29,TECH,-$2.06,,,,#N/A,$54.29,-3.79%
BTC,CRYPTO,0.02514014,"34,032.00",$855.57,#VALUE!,#N/A,#N/A,,,,48124.63,CRYPTO,-$354.29,,,,,"$1,209.86",-29.28%
DOGE,CRYPTO,1543.28,Error getting data,#VALUE!,#VALUE!,#N/A,#N/A,,,,0.357097,CRYPTO,#VALUE!,,,,,$551.10,#VALUE!
ETH,CRYPTO,0.388872,"1,996.20",$776.27,#VALUE!,#N/A,#N/A,,,,2213.2,CRYPTO,-$84.39,,,,,$860.65,-9.80%
LTC,CRYPTO,1.28690966,129.28,$166.37,#VALUE!,#N/A,#N/A,,,,163.18,CRYPTO,-$43.63,,,,,$210.00,-20.77%
